#YYYY MM DD HH MM P(mm) PET(mm)
2009  5  6 17  0 0.00000 0.02100
2009  5  6 17 15 0.00000 0.04200
2009  5  6 17 30 0.00000 0.06299
2009  5  6 17 45 0.00000 0.08399
2009  5  6 18  0 0.00000 0.08670
2009  5  6 18 15 0.00000 0.08941
2009  5  6 18 30 0.00000 0.09213
2009  5  6 18 45 0.00000 0.09484
2009  5  6 19  0 0.00000 0.08324
2009  5  6 19 15 0.00000 0.07164
2009  5  6 19 30 0.00000 0.06005
2009  5  6 19 45 0.00000 0.04845
2009  5  6 20  0 0.00000 0.04608
2009  5  6 20 15 0.00000 0.04371
2009  5  6 20 30 0.00000 0.04133
2009  5  6 20 45 0.00000 0.03896
2009  5  6 21  0 0.00000 0.04277
2009  5  6 21 15 0.00000 0.04658
2009  5  6 21 30 0.00000 0.05039
2009  5  6 21 45 0.00000 0.05420
2009  5  6 22  0 0.00000 0.05482
2009  5  6 22 15 0.00000 0.05544
2009  5  6 22 30 0.00000 0.05606
2009  5  6 22 45 0.00000 0.05668
2009  5  6 23  0 0.00000 0.05288
2009  5  6 23 15 0.00000 0.04909
2009  5  6 23 30 0.00000 0.04529
2009  5  6 23 45 0.00000 0.04149
2009  5  7  0  0 0.00000 0.03166
2009  5  7  0 15 0.00000 0.02183
2009  5  7  0 30 0.00000 0.01200
2009  5  7  0 45 0.00000 0.00217
2009  5  7  1  0 0.00000 0.00163
2009  5  7  1 15 0.00000 0.00109
2009  5  7  1 30 0.00000 0.00054
2009  5  7  1 45 0.00000 0.00000
2009  5  7  2  0 0.00000 0.00000
2009  5  7  2 15 0.00000 0.00000
2009  5  7  2 30 0.00000 0.00000
2009  5  7  2 45 0.00000 0.00000
2009  5  7  3  0 0.00000 0.00000
2009  5  7  3 15 0.00000 0.00000
2009  5  7  3 30 0.00000 0.00000
2009  5  7  3 45 0.00000 0.00000
2009  5  7  4  0 0.00000 0.00000
2009  5  7  4 15 0.00000 0.00000
2009  5  7  4 30 0.00000 0.00000
2009  5  7  4 45 0.00000 0.00000
2009  5  7  5  0 0.00000 0.00000
2009  5  7  5 15 0.00000 0.00000
2009  5  7  5 30 0.00000 0.00000
2009  5  7  5 45 0.00000 0.00000
2009  5  7  6  0 0.00000 0.00000
2009  5  7  6 15 0.00000 0.00000
2009  5  7  6 30 0.00000 0.00000
2009  5  7  6 45 0.00000 0.00000
2009  5  7  7  0 0.00000 0.00000
2009  5  7  7 15 0.00000 0.00000
2009  5  7  7 30 0.00000 0.00000
2009  5  7  7 45 0.00000 0.00000
2009  5  7  8  0 0.00000 0.00000
2009  5  7  8 15 0.00000 0.00000
2009  5  7  8 30 0.00000 0.00000
2009  5  7  8 45 0.00000 0.00000
2009  5  7  9  0 0.00000 0.00000
2009  5  7  9 15 0.00000 0.00000
2009  5  7  9 30 0.00000 0.00000
2009  5  7  9 45 0.00000 0.00000
2009  5  7 10  0 0.00000 0.00000
2009  5  7 10 15 0.00000 0.00000
2009  5  7 10 30 0.00000 0.00000
2009  5  7 10 45 0.00000 0.00000
2009  5  7 11  0 0.00000 0.00002
2009  5  7 11 15 0.00000 0.00003
2009  5  7 11 30 0.00000 0.00005
2009  5  7 11 45 0.00000 0.00007
2009  5  7 12  0 0.00000 0.00291
2009  5  7 12 15 0.00000 0.00575
2009  5  7 12 30 0.00000 0.00859
2009  5  7 12 45 0.00000 0.01143
2009  5  7 13  0 0.00000 0.01974
2009  5  7 13 15 0.00000 0.02806
2009  5  7 13 30 0.00000 0.03637
2009  5  7 13 45 0.00000 0.04469
2009  5  7 14  0 0.00000 0.05088
2009  5  7 14 15 0.00000 0.05707
2009  5  7 14 30 0.00000 0.06325
2009  5  7 14 45 0.00000 0.06944
2009  5  7 15  0 0.00000 0.07728
2009  5  7 15 15 0.00000 0.08511
2009  5  7 15 30 0.00000 0.09294
2009  5  7 15 45 0.00000 0.10078
2009  5  7 16  0 0.00000 0.10271
2009  5  7 16 15 0.00000 0.10463
2009  5  7 16 30 0.00000 0.10656
2009  5  7 16 45 0.00000 0.10849
2009  5  7 17  0 0.00000 0.09800
2009  5  7 17 15 0.00000 0.08750
2009  5  7 17 30 0.00000 0.07701
2009  5  7 17 45 0.00000 0.06652
2009  5  7 18  0 0.00000 0.07878
2009  5  7 18 15 0.00000 0.09104
2009  5  7 18 30 0.00000 0.10330
2009  5  7 18 45 0.00000 0.11556
2009  5  7 19  0 0.00000 0.11685
2009  5  7 19 15 0.00000 0.11813
2009  5  7 19 30 0.00000 0.11941
2009  5  7 19 45 0.00000 0.12069
2009  5  7 20  0 0.00000 0.10520
2009  5  7 20 15 0.00000 0.08970
2009  5  7 20 30 0.00000 0.07420
2009  5  7 20 45 0.00000 0.05871
2009  5  7 21  0 0.00000 0.05684
2009  5  7 21 15 0.00000 0.05498
2009  5  7 21 30 0.00000 0.05311
2009  5  7 21 45 0.00000 0.05125
2009  5  7 22  0 0.00000 0.05031
2009  5  7 22 15 0.00000 0.04938
2009  5  7 22 30 0.00000 0.04844
2009  5  7 22 45 0.00000 0.04751
2009  5  7 23  0 0.00000 0.03922
2009  5  7 23 15 0.00000 0.03092
2009  5  7 23 30 0.00000 0.02263
2009  5  7 23 45 0.00000 0.01434
2009  5  8  0  0 0.00000 0.01094
2009  5  8  0 15 0.00000 0.00754
2009  5  8  0 30 0.00000 0.00414
2009  5  8  0 45 0.00000 0.00074
2009  5  8  1  0 0.00000 0.00056
2009  5  8  1 15 0.00000 0.00037
2009  5  8  1 30 0.00000 0.00019
2009  5  8  1 45 0.00000 0.00001
2009  5  8  2  0 0.00000 0.00001
2009  5  8  2 15 0.00000 0.00001
2009  5  8  2 30 0.00000 0.00001
2009  5  8  2 45 0.00000 0.00001
2009  5  8  3  0 0.00000 0.00000
2009  5  8  3 15 0.00000 0.00000
2009  5  8  3 30 0.00000 0.00000
2009  5  8  3 45 0.00000 0.00000
2009  5  8  4  0 0.00000 0.00000
2009  5  8  4 15 0.00000 0.00000
2009  5  8  4 30 0.00000 0.00000
2009  5  8  4 45 0.00000 0.00000
2009  5  8  5  0 0.00000 0.00000
2009  5  8  5 15 0.00000 0.00000
2009  5  8  5 30 0.00000 0.00000
2009  5  8  5 45 0.00000 0.00000
2009  5  8  6  0 0.00000 0.00000
2009  5  8  6 15 0.00000 0.00000
2009  5  8  6 30 0.00000 0.00000
2009  5  8  6 45 0.00000 0.00000
